stat,window,avg_type,mae,rmse,r2
FG2M,,running,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2A,,running,7.331007639040926,9.154258800064177,0.10005918112608381
FG3M,,running,3.0707639737212147,3.9368943905655596,0.055415208923820014
FG3A,,running,6.163417187590434,7.834568132327729,0.0982316190013891
FTM,,running,4.798821962968647,5.972525644058138,0.0075514607989696225
FTA,,running,5.829534572313914,7.28099891842176,0.014937707953917578
OREB,,running,3.1563572045954342,3.9285353816164,0.011961677019591943
DREB,,running,4.196776935721184,5.257949445048823,0.007081402777979973
REB,,running,5.227137376229527,6.563910932575407,0.007816560212572043
AST,,running,4.003629075026367,5.025415569349638,0.04197575436487
STL,,running,2.316197846225475,2.9000617676775873,0.01066425978221286
BLK,,running,2.0133579091489326,2.5477546241655467,0.010269990262971818
TOV,,running,3.1012023725060778,3.869341952079818,0.012400411223805419
PF,,running,3.4028545440968956,4.271562151014651,0.019487265364446116
PTS,,running,9.408021791674768,11.853809017921163,0.012066151402418623
PLUS_MINUS,,running,11.228985886434765,14.158033052961144,0.02167279483594331
OFF_RATING,,running,9.051158996786334,11.361431120660429,0.014486813182577163
DEF_RATING,,running,9.08096050148734,11.409410676311653,0.006095444032535813
NET_RATING,,running,11.360006426605448,14.353133358306945,0.021257577505013003
PACE,,running,4.062042259676363,5.134401698148994,0.05135737829858711
POSS,,running,4.403832845638846,5.814450834247908,0.0364412046791488
DIST,,running,0.7218429512483893,1.3922842571763205,0.011579505355582498
ORBC,,running,7.616236556194317,9.404444718676801,0.015372410331409903
DRBC,,running,8.54650881078973,11.072698137717628,0.005251913634633398
RBC,,running,12.372005870323532,15.908707688964734,0.0025875827994392697
TCHS,,running,31.441638777080332,46.10534246815465,0.07523913332531584
SAST,,running,1.5160676723095534,1.9228727110153245,0.022865734300676066
FTAST,,running,1.1280839403978407,1.4280696101604629,0.00023133151621856918
PASS,,running,28.637516533770953,39.49861498825825,0.10103000156357089
CFGM,,running,3.4831623973130004,4.417731953076757,0.011333803809751575
CFGA,,running,5.98288611447002,7.679897993357654,0.028173057919576805
UFGM,,running,3.862400959325162,4.941940463200164,0.014908650312464466
UFGA,,running,6.045306449144983,7.977305027714329,0.014329398137694405
DFGM,,running,3.5142301855828735,4.4611049440705965,0.011742135887559346
DFGA,,running,4.885615577985967,6.229769147582436,0.0034501681123817463
PTS_2PT_MR,,running,6.065340500578276,7.375585785073676,0.09102528418775613
PTS_FB,,running,4.96164087576881,6.2331547555651285,0.0561507229479421
PTS_OFF_TOV,,running,4.891897627907621,6.126573383016048,0.005458710268210987
PTS_PAINT,,running,7.674272017108929,9.680242021571111,0.02736509322796421
AST_2PM,,running,3.481465864264537,4.342021179474075,0.06425525238926488
AST_3PM,,running,2.698258874408487,3.4712223504199113,0.02421186436557876
UAST_2PM,,running,3.375117144126785,4.230553897558387,0.04225514694655563
UAST_3PM,,running,1.167838826925475,1.5489584401581205,0.08558927092366109
FG2M,17.0,ewma,3.9865024206989985,5.002789016094731,0.13588484766429165
FG2M,18.0,ewma,3.9827998098933435,4.997869814683344,0.1375833668688038
FG2M,19.0,ewma,3.9795835796376076,4.993645627850813,0.1390405754756282
FG2M,20.0,ewma,3.9768524254723845,4.990007108378211,0.14029475993532003
FG2M,21.0,ewma,3.9745041137621313,4.986865838127747,0.14137680908531036
FG2M,22.0,ewma,3.9724637063000134,4.984149608602453,0.1423118984122187
FG2M,23.0,ewma,3.9706917811305695,4.9817989197772095,0.14312073544604542
FG2M,24.0,ewma,3.969169447259992,4.979764345523332,0.1438204941147403
FG2M,25.0,ewma,3.9678639566138623,4.978004525393315,0.14442552503243
FG2M,26.0,ewma,3.9667349390242026,4.97648461575476,0.1449479019658505
FG2M,27.0,ewma,3.965732553741528,4.975175082297787,0.14539784689380952
FG2M,28.0,ewma,3.9648694882189646,4.974050749351943,0.1457840639691972
FG2M,29.0,ewma,3.964173604381496,4.973090044578157,0.1461140043407222
FG2M,30.0,ewma,3.963594863221156,4.972274393847728,0.14639407794267856
FG2M,31.0,ewma,3.9630954989101532,4.971587732686168,0.14662982420898818
FG2M,32.0,ewma,3.9626663917908918,4.971016108996764,0.1468260506827037
FG2M,33.0,ewma,3.962303484447207,4.970547357858293,0.1469869463206963
FG2M,34.0,ewma,3.9620083800388453,4.970170833672998,0.14711617469620386
FG2M,35.0,ewma,3.961770369331908,4.969877188278277,0.14721695111518895
FG2M,36.0,ewma,3.961568255921804,4.969658186144554,0.1472921067720917
FG2M,37.0,ewma,3.9614082560325974,4.969506549684914,0.1473441423964903
FG2M,38.0,ewma,3.9613168882449847,4.969415829157937,0.14737527332745815
FG2M,39.0,ewma,3.9612562874616013,4.969380292767628,0.1473874675562291
FG2M,40.0,ewma,3.9612330240148017,4.969394833436315,0.14738247797050197
FG2M,41.0,ewma,3.9612393174565,4.969454889408568,0.14736186979370347
FG2M,42.0,ewma,3.9612932983529223,4.969556376381435,0.14732704402375751
FG2M,43.0,ewma,3.9613689475904645,4.969695629282093,0.14727925752652615
FG2M,44.0,ewma,3.961477696929858,4.9698693521534665,0.14721964032012735
FG2M,45.0,ewma,3.9616029909952855,4.970074574880594,0.14714921049107965
FG2M,46.0,ewma,3.961754474798716,4.970308615709858,0.14706888710653687
FG2M,47.0,ewma,3.9619356709711813,4.970569048690994,0.1469795014248011
FG2M,48.0,ewma,3.9621358272816662,4.970853675316452,0.14688180665584738
FG2M,49.0,ewma,3.9623593376675306,4.971160499751031,0.14677648648235142
FG2M,50.0,ewma,3.9626063221995427,4.97148770714185,0.14666416251789172
FG2M,17.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,18.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,19.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,20.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,21.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,22.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,23.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,24.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
FG2M,25.0,ewma,4.1892848159267375,5.246248542188968,0.04973448654735879
